iter	Passed	Remaining
0	144	14261
1	147	7242
2	151	4890
3	155	3725
4	159	3021
5	162	2541
6	163	2172
7	164	1894
8	166	1678
9	167	1507
10	168	1366
11	170	1247
12	171	1147
13	173	1063
14	174	989
15	175	923
16	177	864
17	178	812
18	179	766
19	181	724
20	182	686
21	183	651
22	185	619
23	186	590
24	187	562
25	189	537
26	190	514
27	191	493
28	193	472
29	194	453
30	195	435
31	196	418
32	198	402
33	199	387
34	200	372
35	202	359
36	203	346
37	204	333
38	205	321
39	207	310
40	208	299
41	209	289
42	210	279
43	213	271
44	215	263
45	217	255
46	219	247
47	220	238
48	221	230
49	222	222
50	224	215
51	226	209
52	228	202
53	229	195
54	231	189
55	232	182
56	234	176
57	235	170
58	236	164
59	237	158
60	239	152
61	240	147
62	242	142
63	243	137
64	244	131
65	246	126
66	247	121
67	248	117
68	249	112
69	251	107
70	252	103
71	254	98
72	255	94
73	257	90
74	258	86
75	259	82
76	261	78
77	262	74
78	263	70
79	265	66
80	266	62
81	267	58
82	269	55
83	270	51
84	271	47
85	273	44
86	274	40
87	275	37
88	276	34
89	277	30
90	279	27
91	280	24
92	281	21
93	283	18
94	284	14
95	285	11
96	286	8
97	288	5
98	289	2
99	290	0
